runtime direction index,runtime angle,source array index,source sprite path,flipX,validation result
00,0.00,08,"Assets/Art/Vehicles/AE86_final/Current17/08_000.00_right.png",false,"PASS"
01,11.25,07,"Assets/Art/Vehicles/AE86_final/Current17/07_011.25_WORKING.png",false,"PASS;KNOWN_VISUAL_ISSUE_SLOT07_ACCEPTED"
02,22.50,06,"Assets/Art/Vehicles/AE86_final/Current17/06_022.50.png",false,"PASS"
03,33.75,05,"Assets/Art/Vehicles/AE86_final/Current17/05_033.75.png",false,"PASS"
04,45.00,04,"Assets/Art/Vehicles/AE86_final/Current17/04_045.00_upright.png",false,"PASS"
05,56.25,03,"Assets/Art/Vehicles/AE86_final/Current17/03_056.25.png",false,"PASS"
06,67.50,02,"Assets/Art/Vehicles/AE86_final/Current17/02_067.50.png",false,"PASS"
07,78.75,01,"Assets/Art/Vehicles/AE86_final/Current17/01_078.75.png",false,"PASS"
08,90.00,00,"Assets/Art/Vehicles/AE86_final/Current17/00_090.00_up.png",false,"PASS"
09,101.25,01,"Assets/Art/Vehicles/AE86_final/Current17/01_078.75.png",true,"PASS"
10,112.50,02,"Assets/Art/Vehicles/AE86_final/Current17/02_067.50.png",true,"PASS"
11,123.75,03,"Assets/Art/Vehicles/AE86_final/Current17/03_056.25.png",true,"PASS"
12,135.00,04,"Assets/Art/Vehicles/AE86_final/Current17/04_045.00_upright.png",true,"PASS"
13,146.25,05,"Assets/Art/Vehicles/AE86_final/Current17/05_033.75.png",true,"PASS"
14,157.50,06,"Assets/Art/Vehicles/AE86_final/Current17/06_022.50.png",true,"PASS"
15,168.75,07,"Assets/Art/Vehicles/AE86_final/Current17/07_011.25_WORKING.png",true,"PASS;KNOWN_VISUAL_ISSUE_SLOT07_ACCEPTED"
16,180.00,08,"Assets/Art/Vehicles/AE86_final/Current17/08_000.00_right.png",true,"PASS"
17,191.25,09,"Assets/Art/Vehicles/AE86_final/Current17/09_348.75.png",true,"PASS"
18,202.50,10,"Assets/Art/Vehicles/AE86_final/Current17/10_337.50.png",true,"PASS"
19,213.75,11,"Assets/Art/Vehicles/AE86_final/Current17/11_326.25.png",true,"PASS"
20,225.00,12,"Assets/Art/Vehicles/AE86_final/Current17/12_315.00_downright.png",true,"PASS"
21,236.25,13,"Assets/Art/Vehicles/AE86_final/Current17/13_303.75.png",true,"PASS"
22,247.50,14,"Assets/Art/Vehicles/AE86_final/Current17/14_292.50.png",true,"PASS"
23,258.75,15,"Assets/Art/Vehicles/AE86_final/Current17/15_281.25.png",true,"PASS"
24,270.00,16,"Assets/Art/Vehicles/AE86_final/Current17/16_270.00_down.png",false,"PASS"
25,281.25,15,"Assets/Art/Vehicles/AE86_final/Current17/15_281.25.png",false,"PASS"
26,292.50,14,"Assets/Art/Vehicles/AE86_final/Current17/14_292.50.png",false,"PASS"
27,303.75,13,"Assets/Art/Vehicles/AE86_final/Current17/13_303.75.png",false,"PASS"
28,315.00,12,"Assets/Art/Vehicles/AE86_final/Current17/12_315.00_downright.png",false,"PASS"
29,326.25,11,"Assets/Art/Vehicles/AE86_final/Current17/11_326.25.png",false,"PASS"
30,337.50,10,"Assets/Art/Vehicles/AE86_final/Current17/10_337.50.png",false,"PASS"
31,348.75,09,"Assets/Art/Vehicles/AE86_final/Current17/09_348.75.png",false,"PASS"
