"step_folder","png_count","report_count","tool_count","candidate_image_count","total_file_count","total_size_bytes","contains_currently_used_source","current_source_count","required_retained_file_count","required_files_copied_and_hash_verified","copy_status","archive_eligible"
"Step1_Candidates","18","0","1","14","25","2749659","False","0","0","True","NO_CURRENT_SOURCE","True"
"Step1B_FinalSix","16","0","1","3","26","3329590","False","0","0","True","NO_CURRENT_SOURCE","True"
"Step1C_FinalCandidates","5","0","1","1","8","2325052","False","0","0","True","NO_CURRENT_SOURCE","True"
"Step1C_HybridLocal","23","0","1","0","26","3267942","False","0","0","True","NO_CURRENT_SOURCE","True"
"Step1D_LocalFlipRecovery","24","0","1","0","27","3511307","True","14","17","True","COPIED_AND_HASH_VERIFIED","True"
"Step1E_ThreeMissingPoses","16","0","2","0","23","9251481","False","0","0","True","NO_CURRENT_SOURCE","True"
"Step1F_IdentityRedraw","21","0","2","10","25","3370794","True","3","6","True","COPIED_AND_HASH_VERIFIED","True"
"Step1G_UnityTest","1","0","0","0","8","1619368","False","0","1","True","COPIED_AND_HASH_VERIFIED","True"
"Step1H_Slot07Redraw","12","0","1","4","15","1442852","False","0","1","True","COPIED_AND_HASH_VERIFIED","True"
"Step1I_ManualSlot07","10","0","1","1","13","1306408","False","0","0","True","NO_CURRENT_SOURCE","True"
"Step1J_TrueSlot07Redraw","10","0","1","1","14","1172693","False","0","0","True","NO_CURRENT_SOURCE","True"
