slot,source_path,test_path,width,height,guid,active_guid,unique_guid,import_match
0,Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_00_90.00_step1d.png,Assets/Tests/AE86Step1F/Art/ae86_090_00_up.png,186,186,086146eecaea5db488bcdcca882ecd92,9a0326f98f38d2042b26afb39230ea6d,True,true
1,Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_01_78.75_step1d.png,Assets/Tests/AE86Step1F/Art/ae86_078_75.png,186,186,eb586bcd070653d4c9ab63776a6d4654,79a50c2be52e0dc42a9239e5596b8055,True,true
2,Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_02_67.50_step1d.png,Assets/Tests/AE86Step1F/Art/ae86_067_50.png,186,186,0c4d64f76997f9f4f89579463d4750f5,68fec9e33452d3b4aaf4c267e7122c3b,True,true
3,Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_03_56.25_step1d.png,Assets/Tests/AE86Step1F/Art/ae86_056_25.png,186,186,6421d2f5f7279284fa6feeb856aece99,29b958f49ee4b82438d49939e5a143a8,True,true
4,Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_04_45.00_step1d.png,Assets/Tests/AE86Step1F/Art/ae86_045_00_upright.png,186,186,4820fd2d49acc1e499a04c1294f70e04,0067002b3eaddf044a0c37c1e3a5b422,True,true
5,Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_05_33.75_step1d.png,Assets/Tests/AE86Step1F/Art/ae86_033_75.png,186,186,69efb18f8c0768c4396e69846ad620a8,4b8986e44f411df4890e1e8375a17163,True,true
6,Docs/AE86Production32Fix/Step1F_IdentityRedraw/PNG/slot_06_22.50_step1f.png,Assets/Tests/AE86Step1F/Art/ae86_022_50.png,186,186,4e5048233386c5a4a814ba31231b5ae4,40e4f475f7b077f47a86c6517ca177ae,True,true
7,Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_07_11.25_step1d.png,Assets/Tests/AE86Step1F/Art/ae86_011_25.png,186,186,2ffae7b153cb54b43be83b48ae1f3ef2,1d248039cd395de4981a21e2fee25ad6,True,true
8,Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_08_0.00_step1d.png,Assets/Tests/AE86Step1F/Art/ae86_000_00_right.png,186,186,6426a4fdcf172cc49918f719e6ce18b0,2cfcd3f7ac03a5a439b2ae12cc83c8f5,True,true
9,Docs/AE86Production32Fix/Step1F_IdentityRedraw/PNG/slot_09_348.75_step1f.png,Assets/Tests/AE86Step1F/Art/ae86_348_75.png,186,186,b8d5cb9827325394baf2d650fe2e212e,055742d36fd6007469ef7701da9049c0,True,true
10,Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_10_337.50_step1d.png,Assets/Tests/AE86Step1F/Art/ae86_337_50.png,186,186,755ccd6f68325b8468b860bd5195f659,de452fc7328f1fe4f8eb1c03484e7a76,True,true
11,Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_11_326.25_step1d.png,Assets/Tests/AE86Step1F/Art/ae86_326_25.png,186,186,d9f5d2b23c5d5c34fad77fd8424025c2,cd4c0dc75a4c83a42b7f7fd047a63603,True,true
12,Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_12_315.00_step1d.png,Assets/Tests/AE86Step1F/Art/ae86_315_00_downright.png,186,186,f41692da25e9faf4fbe8f92538956f6e,5b1e38c538c90fc4b910031c8c05bf0a,True,true
13,Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_13_303.75_step1d.png,Assets/Tests/AE86Step1F/Art/ae86_303_75.png,186,186,ba2e450784081db41b7266755b924a64,5a1818f03aba23f44ab7d723ebbf2bd1,True,true
14,Docs/AE86Production32Fix/Step1F_IdentityRedraw/PNG/slot_14_292.50_step1f.png,Assets/Tests/AE86Step1F/Art/ae86_292_50.png,186,186,e5ad18afef7e062499a84287c4f13e79,b31d7f879d5552941bec71f635654ea6,True,true
15,Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_15_281.25_step1d.png,Assets/Tests/AE86Step1F/Art/ae86_281_25.png,186,186,43a434b02327c42468b8551cd8aa5bdb,893a6baa2f8114f46b77a8bcbe67d7a3,True,true
16,Docs/AE86Production32Fix/Step1D_LocalFlipRecovery/PNG/slot_16_270.00_step1d.png,Assets/Tests/AE86Step1F/Art/ae86_270_00_down.png,186,186,fe078d0411b3e3f4d85631f4439f2f80,027a5f51f4dfdcf43ab6797466eff6aa,True,true
