direction_index,angle,source_slot,source_asset,flipX,test_guid
0,0.00,8,Assets/Tests/AE86Step1F/Art/ae86_000_00_right.png,false,6426a4fdcf172cc49918f719e6ce18b0
1,11.25,7,Assets/Tests/AE86Step1F/Art/ae86_011_25.png,false,2ffae7b153cb54b43be83b48ae1f3ef2
2,22.50,6,Assets/Tests/AE86Step1F/Art/ae86_022_50.png,false,4e5048233386c5a4a814ba31231b5ae4
3,33.75,5,Assets/Tests/AE86Step1F/Art/ae86_033_75.png,false,69efb18f8c0768c4396e69846ad620a8
4,45.00,4,Assets/Tests/AE86Step1F/Art/ae86_045_00_upright.png,false,4820fd2d49acc1e499a04c1294f70e04
5,56.25,3,Assets/Tests/AE86Step1F/Art/ae86_056_25.png,false,6421d2f5f7279284fa6feeb856aece99
6,67.50,2,Assets/Tests/AE86Step1F/Art/ae86_067_50.png,false,0c4d64f76997f9f4f89579463d4750f5
7,78.75,1,Assets/Tests/AE86Step1F/Art/ae86_078_75.png,false,eb586bcd070653d4c9ab63776a6d4654
8,90.00,0,Assets/Tests/AE86Step1F/Art/ae86_090_00_up.png,false,086146eecaea5db488bcdcca882ecd92
9,101.25,1,Assets/Tests/AE86Step1F/Art/ae86_078_75.png,true,eb586bcd070653d4c9ab63776a6d4654
10,112.50,2,Assets/Tests/AE86Step1F/Art/ae86_067_50.png,true,0c4d64f76997f9f4f89579463d4750f5
11,123.75,3,Assets/Tests/AE86Step1F/Art/ae86_056_25.png,true,6421d2f5f7279284fa6feeb856aece99
12,135.00,4,Assets/Tests/AE86Step1F/Art/ae86_045_00_upright.png,true,4820fd2d49acc1e499a04c1294f70e04
13,146.25,5,Assets/Tests/AE86Step1F/Art/ae86_033_75.png,true,69efb18f8c0768c4396e69846ad620a8
14,157.50,6,Assets/Tests/AE86Step1F/Art/ae86_022_50.png,true,4e5048233386c5a4a814ba31231b5ae4
15,168.75,7,Assets/Tests/AE86Step1F/Art/ae86_011_25.png,true,2ffae7b153cb54b43be83b48ae1f3ef2
16,180.00,8,Assets/Tests/AE86Step1F/Art/ae86_000_00_right.png,true,6426a4fdcf172cc49918f719e6ce18b0
17,191.25,9,Assets/Tests/AE86Step1F/Art/ae86_348_75.png,true,b8d5cb9827325394baf2d650fe2e212e
18,202.50,10,Assets/Tests/AE86Step1F/Art/ae86_337_50.png,true,755ccd6f68325b8468b860bd5195f659
19,213.75,11,Assets/Tests/AE86Step1F/Art/ae86_326_25.png,true,d9f5d2b23c5d5c34fad77fd8424025c2
20,225.00,12,Assets/Tests/AE86Step1F/Art/ae86_315_00_downright.png,true,f41692da25e9faf4fbe8f92538956f6e
21,236.25,13,Assets/Tests/AE86Step1F/Art/ae86_303_75.png,true,ba2e450784081db41b7266755b924a64
22,247.50,14,Assets/Tests/AE86Step1F/Art/ae86_292_50.png,true,e5ad18afef7e062499a84287c4f13e79
23,258.75,15,Assets/Tests/AE86Step1F/Art/ae86_281_25.png,true,43a434b02327c42468b8551cd8aa5bdb
24,270.00,16,Assets/Tests/AE86Step1F/Art/ae86_270_00_down.png,false,fe078d0411b3e3f4d85631f4439f2f80
25,281.25,15,Assets/Tests/AE86Step1F/Art/ae86_281_25.png,false,43a434b02327c42468b8551cd8aa5bdb
26,292.50,14,Assets/Tests/AE86Step1F/Art/ae86_292_50.png,false,e5ad18afef7e062499a84287c4f13e79
27,303.75,13,Assets/Tests/AE86Step1F/Art/ae86_303_75.png,false,ba2e450784081db41b7266755b924a64
28,315.00,12,Assets/Tests/AE86Step1F/Art/ae86_315_00_downright.png,false,f41692da25e9faf4fbe8f92538956f6e
29,326.25,11,Assets/Tests/AE86Step1F/Art/ae86_326_25.png,false,d9f5d2b23c5d5c34fad77fd8424025c2
30,337.50,10,Assets/Tests/AE86Step1F/Art/ae86_337_50.png,false,755ccd6f68325b8468b860bd5195f659
31,348.75,9,Assets/Tests/AE86Step1F/Art/ae86_348_75.png,false,b8d5cb9827325394baf2d650fe2e212e
