slot,filename,target_angle,estimated_actual_angle,angular_error,source_method,canvas_width,canvas_height,bbox_x,bbox_y,bbox_width,bbox_height,centroid_x,centroid_y,projected_length,projected_width,alpha_pixel_count,scale_difference_percent,center_offset_x,center_offset_y,edge_touch_count,previous_step_delta,next_step_delta,status,recommended_action
0,"ae86_090_00_up.png",90.00,89.65,0.35,"Existing",186,186,49,17,89,153,93.19,93.87,153.34,89.02,12035,0.00,0.00,0.00,0,,15.28,"PASS","Keep active anchor unchanged."
1,"slot_01_78.75_candidate.png",78.75,74.37,4.38,"Re-extracted",186,186,40,18,106,152,93.52,95.21,152.91,91.54,11663,-0.27,0.59,-3.58,0,15.28,10.64,"REVIEW","Manual gameplay-scale review required; angle is within 7 degrees but outside the 4-degree PASS threshold."
2,"slot_02_67.50_candidate.png",67.50,63.73,3.77,"Re-extracted",186,186,33,22,121,148,94.68,97.01,154.72,96.78,11788,0.91,2.01,-6.68,0,10.64,8.87,"PASS","Candidate is suitable for Step 2 approval review."
3,"slot_03_56.25_candidate.png",56.25,54.86,1.39,"Re-extracted",186,186,28,32,130,138,93.15,100.55,154.36,100.35,11656,0.68,0.74,-8.06,0,8.87,7.50,"PASS","Candidate is suitable for Step 2 approval review."
4,"slot_04_45.00_candidate.png",45.00,47.36,2.36,"Re-extracted",186,186,25,38,136,132,92.09,102.60,153.64,100.70,11515,0.22,-0.05,-10.93,0,7.50,11.21,"PASS","Candidate is suitable for Step 2 approval review."
5,"slot_05_33.75_candidate.png",33.75,36.14,2.39,"Re-extracted",186,186,22,51,143,119,91.57,108.34,153.23,116.00,11367,-0.04,-0.32,-10.10,0,11.21,,"PASS","Candidate is suitable for Step 2 approval review."
6,"NEEDS_EXTERNAL_GENERATION",22.50,,,"External required",186,186,,,,,,,,,,,,,,,,"NEEDS_EXTERNAL_GENERATION","No existing frame matches 22.50 degrees at the approved identity and scale."
7,"NEEDS_EXTERNAL_GENERATION",11.25,,,"External required",186,186,,,,,,,,,,,,,,,,"NEEDS_EXTERNAL_GENERATION","The only shallow source collapses into the 0-degree Right anchor."
8,"ae86_000_00_right.png",0.00,356.84,3.16,"Existing",186,186,17,94,153,76,91.10,133.18,153.27,79.03,9165,0.00,0.00,0.00,0,,,"PASS","Keep active anchor; compare optional +2px audit-only center preview."
9,"NEEDS_EXTERNAL_GENERATION",348.75,,,"External required",186,186,,,,,,,,,,,,,,,,"NEEDS_EXTERNAL_GENERATION","No existing frame provides the required small Down bias from Right."
10,"slot_10_337.50_candidate.png",337.50,333.94,3.56,"Flipped",186,186,21,67,145,103,93.24,117.49,148.29,81.03,8867,-3.36,1.48,-5.84,0,,9.70,"PASS","Candidate is suitable for Step 2 approval review."
11,"slot_11_326.25_candidate.png",326.25,324.24,2.01,"Flipped",186,186,23,55,140,115,92.58,110.52,150.68,79.09,9226,-1.87,0.49,-7.89,0,9.70,7.78,"PASS","Candidate is suitable for Step 2 approval review."
12,"slot_12_315.00_candidate.png",315.00,316.46,1.46,"Flipped",186,186,26,43,135,127,92.77,105.72,150.85,79.99,9463,-1.82,0.35,-7.76,0,7.78,9.30,"PASS","Candidate is suitable for Step 2 approval review."
13,"slot_13_303.75_candidate.png",303.75,307.16,3.41,"Flipped",186,186,30,33,127,137,92.35,101.33,154.15,81.70,9907,0.26,-0.41,-7.22,0,9.30,7.96,"PASS","Candidate is suitable for Step 2 approval review."
14,"slot_14_292.50_candidate.png",292.50,299.20,6.70,"Flipped",186,186,35,26,117,144,91.90,97.82,154.54,81.88,10247,0.45,-1.18,-5.81,0,7.96,13.05,"REVIEW","Manual gameplay-scale review required; angle is within 7 degrees but outside the 4-degree PASS threshold."
15,"slot_15_281.25_candidate.png",281.25,286.15,4.90,"Flipped",186,186,44,19,98,151,92.11,94.20,154.29,81.08,10442,0.23,-1.30,-4.51,0,13.05,16.18,"REVIEW","Manual gameplay-scale review required; angle is within 7 degrees but outside the 4-degree PASS threshold."
16,"ae86_270_00_down.png",270.00,269.97,0.03,"Existing",186,186,50,16,87,154,93.75,93.78,154.03,87.00,11959,0.00,0.00,0.00,0,16.18,,"PASS","Keep active anchor unchanged."
